date,amount,balance
12/18/2018,-2.352,712.656
12/18/2018,-1.701,710.304
12/19/2018,-36.9894,708.603
12/18/2018,-420,671.6136
12/14/2018,-32.9994,251.6136
12/18/2018,-1.8438,218.6142
12/16/2018,-4.62,251.6136
12/16/2018,-31.1934,246.9936
12/15/2018,-10.0884,215.8002
12/16/2018,-6.006,205.7118
12/16/2018,-129.4524,199.7058
12/14/2018,-27.8796,70.2534
12/13/2018,-3.3306,216.7704
12/13/2018,2978.1234,213.4398
12/11/2018,-4.2,3191.5632
12/10/2018,-3.57,2978.1234
12/10/2018,-12.369,2974.5534
12/9/2018,-3.4524,2962.1844
12/9/2018,-19.32,2958.732
12/8/2018,-0.4158,2939.412
12/7/2018,-21.987,2938.9962
12/7/2018,-8.4,2917.0092
12/7/2018,-11.3904,2908.6092
12/7/2018,-14.7,2897.2188
12/7/2018,-5.1702,2882.5188
12/7/2018,-3.612,2877.3486
